234566ADSASD|20171208|1231231|1231|12313|1231231313|WWW
123456ADASD|20171208|1231231|1231|12313|1231231313|WWW
123456QWEQE|20171208|1231231|1231|12313|1231231313|WWW
123456ASDASD|20171208|1231231|1231|12313|1231231313|WWW
123456ZXCASD|20171208|1231231|1231|12313|1231231313|WWW
1234566ASDASD|20171208|1231231|1231|12313|1231231313|WWW
1234566DFSDF|20171208|1231231|1231|12313|1231231313|WWW
1234566SDFSF|20171208|1231231|1231|12313|1231231313|WWW
1234566ASDA|20171208|1231231|1231|12313|1231231313|WWW
123456QWEQWE7|20171208|1231231|1231|12313|1231231313|WWW
1234566QWEQ|20171208|1231231|1231|12313|1231231313|WWW
123456623E4|20171208|1231231|1231|12313|1231231313|WWW
